Combination Number	Number of Dedup Domains Per Pod	Number of Pods	Region Algorithm	Region Size MB (Fixed or Average Size)	Min Region MB	Max Region MB	Number of Mask Bits	Assignment Algorithm	Dataset	Results
128	32	8	CONTENT-DEFINED	8	4	12	10	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_014018019028,fslhomes_2012-8kb-only_014018019028	RUNNING
129	128	8	CONTENT-DEFINED	4	2	6	10	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_014018019028,fslhomes_2012-8kb-only_014018019028	RUNNING
130	128	8	CONTENT-DEFINED	8	4	12	10	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_014018019028,fslhomes_2012-8kb-only_014018019028	RUNNING
131	16	8	CONTENT-DEFINED	4	2	6	10	MIN_FINGERPRINT	fslhomes_2011-8kb-only_014018019028,fslhomes_2012-8kb-only_014018019028	RUNNING
132	16	8	CONTENT-DEFINED	8	4	12	10	MIN_FINGERPRINT	fslhomes_2011-8kb-only_014018019028,fslhomes_2012-8kb-only_014018019028	RUNNING
133	32	8	CONTENT-DEFINED	4	2	6	10	MIN_FINGERPRINT	fslhomes_2011-8kb-only_014018019028,fslhomes_2012-8kb-only_014018019028	RUNNING
134	32	8	CONTENT-DEFINED	8	4	12	10	MIN_FINGERPRINT	fslhomes_2011-8kb-only_014018019028,fslhomes_2012-8kb-only_014018019028	RUNNING
135	128	8	CONTENT-DEFINED	4	2	6	10	MIN_FINGERPRINT	fslhomes_2011-8kb-only_014018019028,fslhomes_2012-8kb-only_014018019028	RUNNING
136	128	8	CONTENT-DEFINED	8	4	12	10	MIN_FINGERPRINT	fslhomes_2011-8kb-only_014018019028,fslhomes_2012-8kb-only_014018019028	RUNNING
137										
