,,,,,,,,,SIMULATOR_DOMAINS:32
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:4
,,,,,,,,,SIMULATOR_RUN_NAME:ex1-run90
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:12
,,,,,,,,,SIMULATOR_ROUTING:FIRST_FINGERPRINT_7
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_014018019
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.131.2.151,10.131.2.152,10.129.3.153,10.128.4.215,10.131.2.149,10.129.3.152,10.129.5.90,10.128.4.216
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638577746.22331
,,,,,,,,,STOP_TIME:1638578446.4350774
omain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
211,7294004,1125606,978,208,5.00E-06,1.22E-02,014,2011-09-16
125,4825707,2260658,778,421,4.66E-06,2.73E-02,014,2011-09-16
11,12447276,6569298,1716,1080,4.18E-06,4.11E-02,014,2011-09-16
199,12567663,6380224,2162,1125,5.58E-06,3.23E-02,014,2011-09-16
229,12573160,5005647,2298,1025,7.38E-06,5.55E-02,014,2011-09-16
209,9266613,3115752,5916,1678,1.65E-05,1.37E-01,014,2011-09-16
59,8100429,2777101,2852,1097,1.30E-05,5.57E-02,014,2011-09-16
66,12567206,3457020,4320,1407,1.42E-05,1.51E-01,014,2011-09-16
134,4931752,1270655,514,167,9.61E-06,1.15E-02,014,2011-09-16
11,12578071,4084942,2093,788,6.88E-06,4.74E-02,014,2011-09-16
26,9604529,4452213,1817,884,8.74E-06,4.21E-02,014,2011-09-16
24,8831601,4105964,1485,777,7.14E-06,4.73E-02,014,2011-09-16
179,12582252,6089770,2292,1171,5.71E-06,5.86E-02,014,2011-09-16
12,5670158,2550304,2404,1050,9.61E-06,4.86E-02,014,2011-09-16
165,12469029,7695288,3650,1954,9.60E-06,1.03E-01,014,2011-09-16
145,9457303,4951380,2371,1176,8.71E-06,4.79E-02,014,2011-09-16
195,5316675,2321368,2102,709,4.56E-06,2.73E-02,014,2011-09-16
14,6632620,3673714,1623,828,4.34E-06,3.64E-02,014,2011-09-16
236,12582184,5611841,2095,1023,5.41E-06,5.22E-02,014,2011-09-16
