Combination Number	Number of Dedup Domains Per Pod	Number of Pods	Region Algorithm	Region Size MB (Fixed or Average Size)	Min Region MB	Max Region MB	Number of Mask Bits	Assignment Algorithm	Dataset	Results	
34	128	8	FIXED-SIZE	8	-	-	-	Q_LEARNING	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	ex0-run341638393765.csv	
35	128	8	CONTENT-DEFINED	4	2	6	10	Q_LEARNING	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	ex0-run351638394073.csv	
36	128	8	CONTENT-DEFINED	8	4	12	10	Q_LEARNING	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018	ex0-run361638394346.csv	
37	128	8	TTTD	4	2	6	-	Q_LEARNING	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
38	128	8	TTTD	8	4	12	-	Q_LEARNING	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
39	128	8	AE	4	2	6	-	Q_LEARNING	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
40	128	8	AE	8	4	12	-	Q_LEARNING	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
41	1024	8	TTTD	4	2	6	-	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
42	1024	8	TTTD	8	4	12	-	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
43	1024	8	AE	4	2	6	-	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
44	1024	8	AE	8	4	12	-	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
45	128	8	TTTD	4	2	6	-	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
46	128	8	TTTD	8	4	12	-	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
47	128	8	AE	4	2	6	-	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
48	128	8	AE	8	4	12	-	FIRST_FINGERPRINT_7	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
49	1024	8	TTTD	4	2	6	-	MIN_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
50	1024	8	TTTD	8	4	12	-	MIN_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
51	1024	8	AE	4	2	6	-	MIN_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
52	1024	8	AE	8	4	12	-	MIN_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
53	128	8	TTTD	4	2	6	-	MIN_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
54	128	8	TTTD	8	4	12	-	MIN_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
55	128	8	AE	4	2	6	-	MIN_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
56	128	8	AE	8	4	12	-	MIN_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
57	1024	8	TTTD	4	2	6	-	MAX_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
58	1024	8	TTTD	8	4	12	-	MAX_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
59	1024	8	AE	4	2	6	-	MAX_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
60	1024	8	AE	8	4	12	-	MAX_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
61	128	8	TTTD	4	2	6	-	MAX_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
62	128	8	TTTD	8	4	12	-	MAX_FINGERPRINT	fslhomes_2011-8kb-only_018,fslhomes_2012-8kb-only_018		
