run_name,duration,min_region_bytes,max_region_bytes,mean_region_bytes,std_region_bytes,overall_dedup,mean_domain_phys,std_domain_phys,min_domain_phys,max_domain_phys,mean_domain_logical,std_domain_logical,min_domain_logical,max_domain_logical,mean_pod_phys,std_pod_phys,min_pod_phys,max_pod_phys,mean_pod_logical,std_pod_logical,min_pod_logical,max_pod_logical,pod1 dedup,pod2 dedup,pod3 dedup,pod4 dedup,pod5 dedup,pod6 dedup,pod7 dedup,pod8 dedup
ex2-run49,4.70847414334615,49819,6291456,4755427.03610082,1506810.82735513,19.7,25441654.3046875,11547305.4522111,1822722,73300154,501177427.476563,515566358.807428,3809695,2598970858,407066468.875,59058493.8990039,339332497,528533344,8018838839.625,2126539996.72452,3841424061,10299804803,19.9,24.4,26.1,19.1,19.4,22.3,10.3,16.5
ex2-run50,4.7237308939298,151655,12582876,7440351.50974252,2893073.57143642,19.7,25824936.0079365,14250723.0504326,3364659,77551343,509132624.738095,626697477.129729,4703279,2812842783,406742742.125,69602035.5770198,329037343,537106637,8018838839.625,2171966943.78256,4990538242,11050535108,20.1,28.4,17.2,17.7,22.6,24.3,13,15.4
ex2-run51,3.66198594172796,38472,5259263,5228035.42598187,256186.525950576,12,41737787.0234375,16899986.5860459,16202865,153290109,500216795.796875,303807291.96583,41981246,2320328643,667804592.375,59541314.3811145,576692271,755987474,8003468732.75,927804733.244579,6675012542,9175736754,12,12.7,13.7,12.1,13.6,11.6,10.2,10.3
ex2-run52,3.57796068588893,78126,7356393,7303218.26139991,446470.791196731,10.7,46577696.375,19065216.8901694,8503385,145217238,500498676.476563,303511081.04553,80820507,2078565757,745243142,45737608.7401753,690672862,811834293,8007978823.625,1271394390.43439,6325395167,9972730581,11.3,8.9,11.3,11.2,12.3,9.9,9.5,11.2
ex2-run53,4.76372475624085,49819,6291456,4755427.03610082,1506810.82735513,19.5,5450520.2102649,4559793.28155808,173853,62175880,106209785.955298,231404120.228682,2105602,2557153176,411514275.875,50017579.640593,356369671,483381316,8018838839.625,2451385876.92293,4245578919,11101369858,17.5,20.6,24.1,11.1,20.6,22.2,14.3,23.9
ex2-run54,4.62185379266739,151655,12582876,7440351.50974252,2893073.57143642,19.4,7465498.71945701,5811108.01032101,399672,55330897,145137354.563348,325119618.35029,4212678,2602805968,412468804.25,68381851.631085,326569529,522576701,8018838839.625,2614959407.13739,4683773873,13031593217,16,17.2,26.6,15.6,17.2,19.3,14.3,28.5
ex2-run55,3.64941211144129,38472,5259263,5228035.42598187,256186.525950576,11.7,6756711.47472257,5490240.97062838,342937,111768399,78949136.6979038,107450327.910903,5242964,1784891690,684961625.75,54025847.3120551,631437340,779299066,8003468732.75,991096448.94983,6067887666,9173160771,9.3,12.5,12.9,12.3,11.8,11.4,11.3,12
ex2-run56,3.53189285993576,78126,7356393,7303218.26139991,446470.791196731,10.3,8578667.07617729,6608009.85089819,404552,112662467,88731067.2977839,112746842.621658,7340071,1608501906,774224703.625,78434491.2855203,654918281,897408289,8007978823.625,1095648227.07581,5914949393,9206888078,9,10,10.9,10.7,9.9,10.1,10,12.1
ex2-run57,4.61424839496613,49819,6291456,4755427.03610082,1506810.82735513,19.9,25139393.1640625,10908697.8001344,7544493,69942617,501177427.476563,466185361.724116,14538109,2526881633,402230290.625,48821999.8024976,333728523,463584164,8018838839.625,2179778027.11838,4247210550,11005170911,24.7,12.4,18.9,18.1,25.3,17.8,25.1,16.5
ex2-run58,4.56156690120697,151655,12582876,7440351.50974252,2893073.57143642,20,25012760.859375,15139479.2090526,3217339,96122803,501177427.476563,672212455.089111,5813574,3864641599,400204173.75,79905277.5707104,273045771,497037640,8018838839.625,3005352897.51543,4054198922,11987683760,24.4,16,14.8,23.4,24.9,14.2,28.4,13.1
ex2-run59,3.65533047914505,38472,5259263,5228035.42598187,256186.525950576,11.8,42217792.453125,12995436.5167103,13987927,71971279,500216795.796875,232491758.825056,68218914,1163301432,675484679.25,29887879.3039712,629358533,706835599,8003468732.75,887193180.759525,6935751019,9741820423,11,12.8,10.5,11.8,12.5,10.7,13.8,11.7
ex2-run60,3.56604441006978,78126,7356393,7303218.26139991,446470.791196731,10.6,47388882.7734375,15877995.8087294,17386033,112435249,500498676.476563,246376108.74658,44078753,1366309230,758222124.375,73177068.0802293,654565602,870631220,8007978823.625,930783422.731441,6547017057,9610006492,10.6,11,10,9.6,9.9,10.5,11.7,11.2
ex2-run61,4.73367960850398,49819,6291456,4755427.03610082,1506810.82735513,19.7,5225447.81189711,3931036.97345419,192447,49770083,103136190.863344,214762131.322315,2111346,2289566002,406278567.375,52854755.8511249,317301753,480979667,8018838839.625,1048237142.50869,6564874195,9594473864,18.9,29.8,17.3,16.6,16.7,21,17.2,23.6
ex2-run62,4.5826227982839,151655,12582876,7440351.50974252,2893073.57143642,19.8,7368669.57954545,6010557.19786488,399672,72277870,145797069.811364,321029954.470948,4240101,2183099415,405276826.875,55345217.8403407,318970031,506960099,8018838839.625,2753124660.13284,4886712932,12389566058,16.6,28.9,11.6,16.4,24.4,18.8,14.6,27.2
ex2-run63,3.6481028676033,38472,5259263,5228035.42598187,256186.525950576,11.6,6820273.12946979,4140218.68457794,298064,29215533,78949136.6979038,89214038.4673213,5242937,624906894,691405188.5,48807906.4964666,626745185,766085816,8003468732.75,894700722.318149,6636126351,9319258207,12.2,14.7,10.1,10.1,11.4,12.1,12.2,10.2
ex2-run64,3.52421329021454,78126,7356393,7303218.26139991,446470.791196731,10.3,8321166.73030708,5600041.59127859,439386,48812878,85532484.0974633,94519023.8481385,5519708,742043445,779069235.125,54049068.2967991,683161484,867268952,8007978823.625,671876472.241764,7179565285,8967212098,9.2,12.1,10,9.2,10.3,10.8,11,9.8
ex2-run65,4.79469057718913,49819,6291456,4755427.03610082,1506810.82735513,16.2,30914678.0078125,12833376.4191579,6990989,83971717,501177427.476563,592519648.655336,15091946,4124340609,494634848.125,36209744.8660357,458713100,561936424,8018838839.625,1833634115.54088,6369472489,12064739018,15.8,17.3,13.8,21.5,13.7,16.2,15.8,14.7
ex2-run66,4.54407096703847,151655,12582876,7440351.50974252,2893073.57143642,17.6,28427110.328125,16639117.3525429,383606,101012948,501177427.476563,624499754.373861,5428144,2882044626,454833765.25,61558436.3015647,387837696,550632228,8018838839.625,2528053925.88417,4944420623,12255136570,18.7,17,12.7,22.3,14.3,13.8,20.4,19.4
ex2-run67,4.21840348641078,38472,5259263,5228035.42598187,256186.525950576,5,99947195.1953125,18713105.1207889,6070490,190924332,500216795.796875,121611768.657213,10496615,887233496,1599155123.125,68889631.3398318,1502005831,1681456504,8003468732.75,425108397.570584,7430023905,8610304146,5.1,5.1,5.2,5.2,4.9,4.5,4.9,5.1
ex2-run68,4.24246264298757,78126,7356393,7303218.26139991,446470.791196731,4.8,105315333.148438,18452308.0255545,53981916,149006819,500498676.476563,136160100.77491,208989411,886035913,1685045330.375,55553395.5528498,1615668217,1767383884,8007978823.625,335566407.689233,7616522265,8515805254,4.7,4.8,5,4.4,4.6,4.8,5,4.6
ex2-run137,4.82772287130356,49819,6291456,4755427.03610082,1506810.82735513,16.9,15026464.0474308,9353303.77696555,1611376,65614862,253560121.411067,379220023.678242,2518657,2785664905,475211925.5,42251371.1793512,433754109,547373498,8018838839.625,1705766280.69001,5121195299,9610047528,14,21.1,11.4,11.8,20.1,17.1,20.3,20.3
ex2-run138,4.53085086743037,151655,12582876,7440351.50974252,2893073.57143642,18.4,14881695.5128205,11763053.647097,383606,82776976,274148336.397436,465463255.47071,4334272,2482317622,435289593.75,44731297.0877764,394504070,505339780,8018838839.625,2246730678.46815,3962681869,10927603965,21.3,27.1,9.5,16.4,16.7,12.3,19.9,26.9
ex2-run139,4.3240575949351,38472,5259263,5228035.42598187,256186.525950576,4.7,53591083.3203125,11729525.0455807,26527546,93146851,250108397.898437,77827076.7912981,79691609,561736800,1714914666.25,62817014.4216528,1600100739,1770568512,8003468732.75,367420791.987779,7562322722,8610964466,4.7,4.8,4.3,4.6,4.9,4.9,4.4,4.7
ex2-run140,4.31536513964335,78126,7356393,7303218.26139991,446470.791196731,4.4,56690837.5390625,14572177.7474997,15950752,97611624,250249338.238281,94728434.6112636,76737689,644284848,1814106801.25,76846396.9976804,1709768609,1929870667,8007978823.625,342139062.816657,7644229680,8611654666,4.3,4.3,4.3,4.2,4.6,4.5,4.4,4.8
ex2-run141,4.82388517856598,49819,6291456,4755427.03610082,1506810.82735513,19.6,13012650.5277778,8266203.15877467,329539,65924043,254566312.369048,366798893.629357,2248795,2576023116,409898491.625,37762587.5764863,379164594,499953781,8018838839.625,2439648767.7624,4001947197,11800539645,24.4,19.5,16.4,16.9,19.7,23.6,24.7,10.1
ex2-run142,4.56544508536657,151655,12582876,7440351.50974252,2893073.57143642,19.5,14208074.7402597,9712339.53026671,1576856,58766259,277708704.402597,469774337.699848,4267801,2668972218,410258158.125,52833294.2640302,327250320,507603607,8018838839.625,2957646683.92564,2925185858,11737578937,20.8,14.4,17.4,22.5,26,19.8,29.3,6.9
ex2-run143,3.59540830850601,38472,5259263,5228035.42598187,256186.525950576,11.8,21110570.59375,11476555.9807527,3150789,133335067,250108397.898437,205212291.342649,5245874,2026356358,675538259,70844455.2710644,543877179,780313062,8003468732.75,1238058069.13597,6480375094,10578345150,12.3,11.1,12.7,10.4,11.9,14.3,12.3,9.9
ex2-run144,3.54129484891891,78126,7356393,7303218.26139991,446470.791196731,10.5,24039294.9486166,13354229.6360958,2070628,124455353,253216721.695652,209778295.791369,7342880,1872934014,760242702.75,72894380.5443492,654802954,868883107,8007978823.625,1285746557.88462,6782634725,10516012681,10.3,9.7,10.9,10,9.6,12.1,11.1,10.4
ex2-run145,4.81592214902242,49819,6291456,4755427.03610082,1506810.82735513,19.8,13099880.388664,7881304.14838094,536359,56678742,259719476.587045,336320276.598109,2120396,2328987224,404458807,54035524.2174727,345159854,514262852,8018838839.625,1433229670.7957,6757038943,11288499226,19.6,17.8,19.5,14.4,18.5,19,23.4,28.6
ex2-run146,4.61342958609263,151655,12582876,7440351.50974252,2893073.57143642,19.9,13945966.95671,10715774.3032466,1105458,77806363,277708704.402597,443485690.532123,4265211,2206675344,402689795.875,72521872.4123372,320094694,524833419,8018838839.625,1378843923.78169,6059713362,10764741932,26.6,16.3,14.7,14.8,17,25,22.9,27.2
ex2-run147,3.69545971949895,38472,5259263,5228035.42598187,256186.525950576,11.7,21369315.7773438,9301862.65977862,3222176,50020402,250108397.898437,165929360.074714,5247761,753204130,683818104.875,45788743.9711436,624161129,756024048,8003468732.75,891814677.533583,6993160745,9442221221,12.9,10.6,11.2,11.8,10.6,11.5,11.7,13.4
ex2-run148,3.57628099123637,78126,7356393,7303218.26139991,446470.791196731,10.4,24138792.5058824,11378664.3105573,4223786,93003551,251230708.192157,168286980.14915,7340876,874265899,769424011.125,47864661.2088827,709522006,832121683,8007978823.625,1041505283.61351,6579773769,9582908419,11.3,9.5,9.3,11,10.1,9.7,10.7,11.5
ex2-run149,4.77713089386622,49819,6291456,4755427.03610082,1506810.82735513,16,15824095.2677165,9601587.34746593,1611376,68463229,252561853.216535,370172519.132678,2518657,2528578861,502415024.75,43305519.1855179,439291958,554115593,8018838839.625,1727274184.92077,5157596933,10118410275,13,19.7,10.6,11.3,19.4,16.8,19.3,18.8
ex2-run150,4.65623543659846,151655,12582876,7440351.50974252,2893073.57143642,17,15893442.8739496,12156314.8795696,383606,83791800,269540801.331933,459826090.426916,4334272,2475170772,472829925.5,39753738.6983536,408870508,526978927,8018838839.625,2202255036.74336,3948061333,10673599703,18.3,26.1,9.1,15.3,14.9,11.7,20.5,21.3
ex2-run151,4.2682625412941,38472,5259263,5228035.42598187,256186.525950576,4.6,54178828.4570313,11891649.7272491,11478807,93146851,250108397.898437,77176747.2740869,20986223,551242021,1733722510.625,57352182.2927182,1628438001,1782942795,8003468732.75,366052768.542361,7583326707,8579438547,4.6,4.8,4.3,4.6,4.8,4.8,4.4,4.7
ex2-run152,4.42627267837524,78126,7356393,7303218.26139991,446470.791196731,4.4,57263643.9648438,14615416.5881727,15950752,98844368,250249338.238281,94022558.9108964,76737689,644282808,1832436606.875,80650564.2834376,1711336272,1957291017,8007978823.625,340365908.834177,7671926668,8604282009,4.2,4.2,4.3,4.2,4.6,4.4,4.4,4.8
