run_name,duration,min_region_bytes,max_region_bytes,mean_region_bytes,std_region_bytes,overall_dedup,mean_domain_phys,std_domain_phys,min_domain_phys,max_domain_phys,mean_domain_logical,std_domain_logical,min_domain_logical,max_domain_logical,mean_pod_phys,std_pod_phys,min_pod_phys,max_pod_phys,mean_pod_logical,std_pod_logical,min_pod_logical,max_pod_logical,pod1 dedup,pod2 dedup,pod3 dedup,pod4 dedup,pod5 dedup,pod6 dedup,pod7 dedup,pod8 dedup
ex2-run37,4.9393060485522,49819,6291456,4755427.03610082,1506810.82735513,15.5,5940955.82183908,4299614.0189029,121813,40663961,92170561.375,218643208.778464,170965,2757394777,516863156.5,57815891.9296253,426995830,597758118,8018838839.625,2208853647.8553,5224757072,11251922549,13.7,18.3,10.9,14.5,11.2,17.3,16.2,21.5
ex2-run38,4.64180684487025,151655,12582876,7440351.50974252,2893073.57143642,17.3,7666402.69214876,6175656.76452791,238858,61555730,132542790.737603,315945287.448693,4252703,2462596228,463817362.875,48344116.757149,416606666,573242753,8018838839.625,1366524087.06291,6479618143,10274168277,16,19.5,17.7,13.8,22.6,17.2,14.8,17.2
ex2-run39,4.42204451560974,38472,5259263,5228035.42598187,256186.525950576,4.3,14517744.0127827,6846958.03669972,338207,58129277,62957472.8239921,39525167.8845643,5242962,351628264,1845568207.625,95963191.9760477,1732379649,2048409582,8003468732.75,589902127.57568,7455691159,9255293866,4.1,4.5,4.5,4.3,4.2,4.5,4.3,4.3
ex2-run40,4.38937364021937,78126,7356393,7303218.26139991,446470.791196731,4.1,15498531.8907646,8279179.27456539,403183,48237632,63618501.08143,48036678.1533549,2341846,374690547,1950877701.75,45185288.0468387,1885398446,2001400028,8007978823.625,494777669.423191,7230723946,8654828565,3.7,4.3,4.1,4.2,4.2,4.5,3.8,4.1
ex2-run41,4.79978547096252,49819,6291456,4755427.03610082,1506810.82735513,17.2,29182643.34375,12759995.005605,6825953,83971717,501177427.476563,597504051.277976,15091946,4162004209,466922293.5,39690352.5900211,419372096,526232326,8018838839.625,1861142086.69604,6182349481,12053575941,16.4,18.1,14.9,22.9,14.7,17.4,16.5,15.4
ex2-run42,4.63742767969767,151655,12582876,7440351.50974252,2893073.57143642,18.7,26816046.390625,16129284.203676,383606,92817024,501177427.476563,630242581.088114,4824736,2890149515,429056742.25,62380017.4981813,361211555,526391998,8018838839.625,2538780584.31543,4874318929,12251385412,19.6,18.1,13.5,23.3,15.6,14.2,21.9,20.8
ex2-run43,4.1769643386205,38472,5259263,5228035.42598187,256186.525950576,5.1,98932701.578125,14692150.6230383,66065085,135341372,500216795.796875,109895321.444515,302763495,892470412,1582923225.25,63951022.7691874,1471964393,1645230744,8003468732.75,520324334.246505,7203367677,8626026284,5.2,5.1,5.2,5.3,5,4.5,5,5.1
ex2-run44,4.17473826805751,78126,7356393,7303218.26139991,446470.791196731,4.8,104169004.132813,18574886.2755301,53087792,147613665,500498676.476563,137639612.088088,201643677,900730115,1666704066.125,58796507.8162082,1599884082,1752646143,8007978823.625,345550077.314691,7583020328,8530516698,4.8,4.9,5,4.5,4.7,4.9,5.1,4.7
ex2-run45,4.71406837304433,49819,6291456,4755427.03610082,1506810.82735513,16.7,5703415.49554896,4261490.4789222,121813,40663961,95179096.0192878,231072841.389261,170965,2772862439,480512755.5,54200274.0662252,411201747,572551724,8018838839.625,2321971951.51292,4995823906,11442777103,15.3,19.2,11.2,15.8,12,18.8,17.4,22.6
ex2-run46,4.59708193540573,151655,12582876,7440351.50974252,2893073.57143642,18.3,7789544.46888889,6180718.23592495,238858,61577842,142557134.926667,329418298.015967,4252703,2469743028,438161876.375,41517104.3946756,393507826,530034855,8018838839.625,1389725821.3802,6455732891,10623860552,16.5,20.7,18.4,14.4,22.7,20,15.9,18
ex2-run47,4.31881606578827,38472,5259263,5228035.42598187,256186.525950576,4.4,14296489.969578,6831477.84724367,338207,58129277,62833905.6545633,39773927.4066838,5242962,351628264,1821015409.875,101334408.829759,1692319829,2025230710,8003468732.75,588107505.596595,7470054468,9244798436,4.1,4.6,4.6,4.4,4.2,4.5,4.4,4.3
ex2-run48,4.31375084718068,78126,7356393,7303218.26139991,446470.791196731,4.2,15327218.6782522,8171309.44387427,403183,48237632,63618501.08143,47756691.3233231,2341846,374690547,1929313651.125,42312705.979071,1856043085,1984289374,8007978823.625,394439406.652317,7396228228,8379054412,3.8,4.3,4.2,4.3,4.2,4.5,3.9,4.1
