run_name,duration,min_region_bytes,max_region_bytes,mean_region_bytes,std_region_bytes,overall_dedup,mean_domain_phys,std_domain_phys,min_domain_phys,max_domain_phys,mean_domain_logical,std_domain_logical,min_domain_logical,max_domain_logical,mean_pod_phys,std_pod_phys,min_pod_phys,max_pod_phys,mean_pod_logical,std_pod_logical,min_pod_logical,max_pod_logical,pod1 dedup,pod2 dedup,pod3 dedup,pod4 dedup,pod5 dedup,pod6 dedup,pod7 dedup,pod8 dedup
ex1-run107,12.445506910483,195912,6291456,5627720.77299758,1231279.90426676,17,59265450.5859375,17195129.6568913,23757632,127066658,1009186630.96094,752205912.425195,197964882,4509551042,1896494418.75,119726298.430448,1665667238,2046924716,32293972190.75,3895099125.31924,28260990689,39528648450,17.4,16.9,16.7,17.8,15,20,15.2,17
ex1-run108,11.9573995113373,195912,12582912,10287161.6439436,2921848.13459077,17.7,56923268.1289062,21718792.5176165,8988455,136706407,1009186630.96094,783253571.467158,107137688,4953706794,1821544580.125,161372220.797537,1591289386,2005637180,32293972190.75,3758971121.91389,25580133028,36202951763,17.7,18,19.1,18.4,14.8,18.1,18.7,17
ex1-run109,12.7159775137901,195912,6291456,5627720.77299758,1231279.90426676,17,14941200.1543756,8250564.76569768,16384,78676057,254033212.906588,372376897.023409,2426456,2992501057,1899400069.625,117527180.579918,1721169678,2046529414,32293972190.75,3851013354.14831,28633794531,38384560340,15.6,15.9,17.6,16.6,18.8,15.2,16.7,19.5
ex1-run110,11.654660431544,195912,12582912,10287161.6439436,2921848.13459077,17.5,15645976.8527542,10583382.3466102,85124,79472111,273677730.430085,399897820.991753,391824,3215648909,1846225268.625,155067394.962159,1632291693,2167636046,32293972190.75,5163240251.16746,26283077683,40412394695,14.9,17.9,20.2,15.5,18.6,14.9,18.3,19.4
ex1-run111,106.926132965088,183632,6291456,5612047.94996823,1231431.20831886,14.2,60283082440,nan,60283082440,60283082440,856752076186,nan,856752076186,856752076186,60283082440,nan,60283082440,60283082440,856752076186,nan,856752076186,856752076186,14.2,0,0,0,0,0,0,0
ex1-run112,105.222731900215,82739,12582912,10221820.1320273,2936630.26628414,14.5,59181587562,nan,59181587562,59181587562,856752076186,nan,856752076186,856752076186,59181587562,nan,59181587562,59181587562,856752076186,nan,856752076186,856752076186,14.5,0,0,0,0,0,0,0
ex1-run113,46.9687186717987,183632,6291456,5612047.94996823,1231431.20831886,11,609611501.648438,56919199.6234317,458675780,765128049,6693375595.20312,13635025950.7908,4117144938,159424393350,9753784026.375,307376489.514697,9269418078,10349391149,107094009523.25,56891736746.9798,83036984099,247627037966,9.2,8.9,8.6,23.9,8.7,8.8,9.4,9.4
ex1-run114,43.8737706025441,82739,12582912,10221820.1320273,2936630.26628414,11.1,600386766.710938,71682654.0116387,440107560,801600324,6693375595.20312,13524858065.0379,3887458730,158118786504,9606188267.375,295070707.813228,9108676765,10070017590,107094009523.25,54832246266.6412,83871662250,242610298341,9.5,9.2,8.8,24.1,9,8.8,9.5,9.6
ex1-run115,45.3718761404355,183632,6291456,5612047.94996823,1231431.20831886,10.9,305691285.203125,39453383.5767237,195266058,430415988,3346687797.60156,9667712838.92359,1691657335,157113238993,9782121126.5,261920885.210217,9357173535,10056291121,107094009523.25,54286609548.8538,83226297860,241179077627,9.2,8.9,8.8,9.3,8.8,24,8.7,9.4
ex1-run116,44.3465328415235,82739,12582912,10221820.1320273,2936630.26628414,11.1,301047676.015625,48984254.9566037,183640661,469674385,3346687797.60156,9561235731.87764,1660161759,155361108990,9633525632.5,296449967.568679,9268601621,9974105971,107094009523.25,52508705058.233,85031492069,236864229730,9.5,9,8.8,9.6,9.2,24.4,9,9.4
